education,skills,experience,certifications,projects,career
B.Sc,"Python, Tableau, Excel, Power BI, R, NumPy",7.8,Microsoft Certified Data Analyst,HR Employee Attrition Insights,Data Analyst
M.S,"Docker, Jenkins, GitLab CI, GCP, Linux, CI/CD",0.6,Google Associate Cloud Engineer,Cloud Cost Optimization & Monitoring Setup,Cloud Engineer
M.Tech,"Nmap, Cybersecurity, Ethical Hacking, Bash, Python",8.8,Certified Ethical Hacker (CEH),Enterprise Network Vulnerability Assessment,Cybersecurity Analyst
M.Tech,"Docker, Linux, GCP, Cloud Architecture",4.0,Microsoft Azure Fundamentals,Multi-Region High Availability AWS Infrastructure,Cloud Engineer
B.E,"TensorFlow, Machine Learning, MLOps, Scikit-learn, Docker, Pandas",4.3,DeepLearning.AI TensorFlow Developer,Transformer-based Chatbot Engine,Machine Learning Engineer
B.Tech,"Scikit-learn, Matplotlib, SQL, Statistics, Deep Learning, Machine Learning, Spark, NumPy",5.6,Google Data Analytics,Customer Churn Prediction Model,Data Scientist
MCA,"R, Statistics, Seaborn, Pandas, SQL",3.4,Google Data Analytics,Credit Risk Scoring Algorithm,Data Scientist
M.S,"Firewall, SOC, Network Security, Metasploit, Bash, Linux, Ethical Hacking",4.9,CompTIA CySA+,Automated Log Analysis SIEM Dashboard,Cybersecurity Analyst
B.E,"Docker, CI/CD, Python, Terraform, Linux, Networking, Cloud Architecture, Prometheus",9.7,AWS Solutions Architect Associate,Serverless Event-Driven ETL with AWS Lambda,Cloud Engineer
M.S,"Network Security, Linux, Wireshark, Metasploit, Cybersecurity, Ethical Hacking",6.0,CompTIA CySA+,Web Application Penetration Testing Report,Cybersecurity Analyst
M.S,"Deep Learning, NumPy, Machine Learning, Python, Seaborn",9.1,TensorFlow Developer Certificate,House Price Forecasting Pipeline,Data Scientist
B.Sc,"Docker, AWS, GitLab CI, Kubernetes, Linux",5.8,AWS Solutions Architect Associate,Cloud Cost Optimization & Monitoring Setup,Cloud Engineer
B.Tech,"Kubernetes, Linux, CI/CD, Docker, Microservices, AWS, Prometheus, Azure",2.9,Certified Kubernetes Administrator (CKA),Kubernetes Microservices Cluster Deployment,Cloud Engineer
BCA,"Algorithms, Git, Design Patterns, Data Structures, C++",5.2,None,Banking Transaction Core System,Software Developer
M.Tech,"Python, Data Analysis, PostgreSQL, Tableau",7.8,Tableau Desktop Specialist,Marketing Campaign ROI Tracker,Data Analyst
M.S,"SQL, OOP, Git, Java, .NET, Python, Data Structures, Unit Testing",1.4,Oracle Certified Java Professional,Distributed Cache Mechanism,Software Developer
B.Tech,"Scikit-learn, Deep Learning, FastAPI, AWS, Machine Learning, Docker, Python",7.5,GCP Professional ML Engineer,Transformer-based Chatbot Engine,Machine Learning Engineer
B.E,"Linux, Terraform, Python, Microservices, Kubernetes, Bash",4.5,Microsoft Azure Fundamentals,Automated CI/CD Pipeline with Jenkins and Docker,Cloud Engineer
B.Sc,"Deep Learning, Scikit-learn, Docker, FastAPI, PyTorch, Machine Learning, Model Deployment, NLP",5.0,GCP Professional ML Engineer,Real-time Object Detection with YOLO,Machine Learning Engineer
B.Tech,"GitLab CI, Azure, Bash, AWS, Terraform, Linux",2.8,Certified Kubernetes Administrator (CKA),Multi-Region High Availability AWS Infrastructure,Cloud Engineer
B.Sc,"PyTorch, Computer Vision, TensorFlow, Kubernetes, FastAPI, Scikit-learn",7.5,DeepLearning.AI TensorFlow Developer,Edge AI Device Defect Classifier,Machine Learning Engineer
M.Sc,"Git, Algorithms, C#, OOP, Java, Spring Boot",8.0,Microsoft Certified C# Developer,Distributed Cache Mechanism,Software Developer
M.S,"R, Power BI, Data Visualization, Python, Data Analysis, Pandas, Excel, MySQL",9.9,Google Data Analytics Certificate,HR Employee Attrition Insights,Data Analyst
B.E,"Big Data, Pandas, TensorFlow, Python, Scikit-learn, NumPy",3.8,TensorFlow Developer Certificate,Recommendation System for E-Commerce,Data Scientist
M.S,"Python, Terraform, AWS, Docker, Kubernetes, Cloud Architecture",7.4,Microsoft Azure Fundamentals,Kubernetes Microservices Cluster Deployment,Cloud Engineer
M.Sc,"Node.js, JavaScript, React, Vue.js, HTML, Next.js",0.1,None,Portfolio Showcase with Dynamic Theming,Web Developer
B.E,"R, Statistics, SQL, Scikit-learn, Python",5.2,Google Data Analytics,Sentiment Analysis on Product Reviews,Data Scientist
M.S,"Scikit-learn, AWS, Model Deployment, Machine Learning, Python, TensorFlow, FastAPI",8.7,None,Autonomous Driving Lane Detection,Machine Learning Engineer
M.S,"Tableau, Python, PostgreSQL, Excel, Data Analysis, Power BI",1.5,None,Sales Performance Interactive Dashboard,Data Analyst
B.E,"Git, Java, Data Structures, MySQL, Algorithms",3.7,Oracle Certified Java Professional,Banking Transaction Core System,Software Developer
M.Tech,"Python, MySQL, Excel, Google Analytics, Power BI, Data Analysis",3.5,Tableau Desktop Specialist,Sales Performance Interactive Dashboard,Data Analyst
M.Sc,"SIEM, Ethical Hacking, Network Security, Wireshark, Nmap, Firewall",9.2,Certified Ethical Hacker (CEH),Automated Log Analysis SIEM Dashboard,Cybersecurity Analyst
M.Tech,"Vulnerability Assessment, Cybersecurity, SIEM, Metasploit, Nmap, Ethical Hacking",0.4,Cisco CCNA Security,Enterprise Network Vulnerability Assessment,Cybersecurity Analyst
B.Sc,"Pandas, Tableau, Scikit-learn, NumPy, PyTorch, Big Data, SQL",8.2,TensorFlow Developer Certificate,Recommendation System for E-Commerce,Data Scientist
B.Sc,"Wireshark, Nmap, Cryptography, Ethical Hacking, Linux, Network Security",7.2,Cisco CCNA Security,Phishing Simulation & Awareness Program,Cybersecurity Analyst
B.E,"CSS, PostgreSQL, Express, React",3.3,None,E-Commerce Web Portal with Stripe,Web Developer
MCA,"AWS, GitLab CI, Cloud Architecture, Linux, GCP, Kubernetes",2.0,Google Associate Cloud Engineer,Cloud Cost Optimization & Monitoring Setup,Cloud Engineer
M.Tech,"Linux, Python, Kubernetes, Cloud Architecture, Terraform",7.7,AWS Solutions Architect Associate,Serverless Event-Driven ETL with AWS Lambda,Cloud Engineer
BCA,"Unit Testing, SQL, Linux, Python, Data Structures, OOP, Git, Java",6.6,None,Peer-to-Peer Chat Engine,Software Developer
M.S,"Network Security, Nmap, Ethical Hacking, Metasploit, Wireshark, Python, Firewall",10.0,CompTIA CySA+,Enterprise Network Vulnerability Assessment,Cybersecurity Analyst
MCA,"TensorFlow, MLOps, Docker, Python",6.8,GCP Professional ML Engineer,Transformer-based Chatbot Engine,Machine Learning Engineer
M.Tech,"Data Structures, OOP, Git, C#, SQL, C++",3.4,AWS Certified Developer,Hospital Management Desktop App,Software Developer
M.S,"TensorFlow, Deep Learning, Machine Learning, Kubernetes, Docker",1.7,AWS Certified Machine Learning Specialty,Edge AI Device Defect Classifier,Machine Learning Engineer
M.Sc,"Python, Unit Testing, Algorithms, Git, C#",7.1,Oracle Certified Java Professional,Hospital Management Desktop App,Software Developer
BCA,"Git, Algorithms, Python, C++, Linux, Data Structures",3.7,AWS Certified Developer,Multi-threaded File Downloader,Software Developer
M.S,"Prometheus, GitLab CI, Docker, CI/CD, Cloud Architecture",0.9,Google Associate Cloud Engineer,Automated CI/CD Pipeline with Jenkins and Docker,Cloud Engineer
M.Tech,"Python, Design Patterns, OOP, Algorithms, Docker, MySQL",4.2,AWS Certified Developer,Hospital Management Desktop App,Software Developer
M.S,"Bash, Network Security, Wireshark, Firewall, Ethical Hacking",8.7,Certified Ethical Hacker (CEH),Phishing Simulation & Awareness Program,Cybersecurity Analyst
MCA,"Pandas, Scikit-learn, NumPy, Statistics, R, Machine Learning",9.8,IBM Data Science Professional,House Price Forecasting Pipeline,Data Scientist
MCA,"Express, Angular, JavaScript, React, Bootstrap",9.6,Full Stack Web Development Bootcamp,Real-time Collaborative Whiteboard,Web Developer
M.Tech,"Bash, Linux, Network Security, Nmap, Penetration Testing, Ethical Hacking, Wireshark, SOC",7.2,Cisco CCNA Security,Web Application Penetration Testing Report,Cybersecurity Analyst
B.Tech,"TensorFlow, SQL, Scikit-learn, NLP, Python, NumPy, Machine Learning, Spark",5.8,None,Recommendation System for E-Commerce,Data Scientist
B.Sc,"Jenkins, AWS, Ansible, Bash, Cloud Architecture, Kubernetes",3.2,Certified Kubernetes Administrator (CKA),Disaster Recovery Infrastructure as Code,Cloud Engineer
M.Tech,"Kubernetes, CI/CD, Terraform, Docker, GitLab CI, AWS",6.3,Google Associate Cloud Engineer,Cloud Cost Optimization & Monitoring Setup,Cloud Engineer
B.E,"PostgreSQL, Data Visualization, Tableau, Excel, Pandas, Google Analytics",1.1,Google Data Analytics Certificate,Sales Performance Interactive Dashboard,Data Analyst
B.Sc,"Next.js, Vue.js, Angular, JavaScript, Express, HTML, REST API, Node.js",4.0,Meta Front-End Developer Certificate,Portfolio Showcase with Dynamic Theming,Web Developer
B.Tech,"Data Visualization, Tableau, Python, R, SQL, Power BI",8.7,Tableau Desktop Specialist,Customer Segmentation and Cohort Study,Data Analyst
M.Tech,"Python, Nmap, Penetration Testing, Firewall, Cybersecurity, Network Security",6.7,Cisco CCNA Security,Web Application Penetration Testing Report,Cybersecurity Analyst
B.E,"Computer Vision, TensorFlow, PyTorch, Model Deployment, Deep Learning, Docker",5.0,None,Transformer-based Chatbot Engine,Machine Learning Engineer
M.Sc,"Firewall, Penetration Testing, Wireshark, SOC, Cybersecurity, Ethical Hacking",5.2,Cisco CCNA Security,Intrusion Detection System with Snort,Cybersecurity Analyst
M.S,"NumPy, Tableau, SQL, Data Analysis, Google Analytics",4.8,Microsoft Certified Data Analyst,Financial Quarterly KPI Visualization,Data Analyst
BCA,"Python, Azure, Linux, Docker, Terraform, Cloud Architecture, AWS, Ansible",8.2,Certified Kubernetes Administrator (CKA),Cloud Cost Optimization & Monitoring Setup,Cloud Engineer
B.Tech,"OOP, Algorithms, Data Structures, Unit Testing",9.8,Microsoft Certified C# Developer,Peer-to-Peer Chat Engine,Software Developer
B.E,"Data Structures, OOP, C#, Java, Git",2.1,AWS Certified Developer,Hospital Management Desktop App,Software Developer
MCA,"Cloud Architecture, Microservices, Prometheus, Kubernetes, Python, AWS",9.9,Microsoft Azure Fundamentals,Cloud Cost Optimization & Monitoring Setup,Cloud Engineer
M.S,"Terraform, GCP, Prometheus, Azure, CI/CD, Cloud Architecture, Kubernetes",1.0,Microsoft Azure Fundamentals,Cloud Cost Optimization & Monitoring Setup,Cloud Engineer
BCA,"GCP, Microservices, Docker, GitLab CI, Cloud Architecture, AWS",0.7,Microsoft Azure Fundamentals,Serverless Event-Driven ETL with AWS Lambda,Cloud Engineer
M.S,"Tableau, Matplotlib, NLP, Scikit-learn, NumPy, Pandas",4.5,Google Data Analytics,Healthcare Fraud Detection Engine,Data Scientist
BCA,"TensorFlow, Machine Learning, Computer Vision, Scikit-learn, Deep Learning, NLP",0.9,DeepLearning.AI TensorFlow Developer,Edge AI Device Defect Classifier,Machine Learning Engineer
M.Sc,"React, Node.js, Express, Angular, Tailwind, Django, CSS",9.7,None,Real-time Collaborative Whiteboard,Web Developer
M.Sc,"Flask, React, CSS, Next.js, REST API, HTML, MongoDB, Node.js",3.4,JavaScript Specialist,Blog CMS with Markdown Support,Web Developer
M.Tech,"Data Structures, OOP, C++, .NET, Algorithms, Python, Docker",8.8,Microsoft Certified C# Developer,Inventory and Billing Management Software,Software Developer
M.Tech,"Express, REST API, JavaScript, Vue.js",1.6,None,E-Commerce Web Portal with Stripe,Web Developer
B.E,"Kubernetes, Ansible, CI/CD, Terraform, Azure, AWS, Linux",1.7,Certified Kubernetes Administrator (CKA),Kubernetes Microservices Cluster Deployment,Cloud Engineer
M.S,"Wireshark, Cryptography, Burp Suite, Cybersecurity, Network Security, Metasploit",5.8,Cisco CCNA Security,Enterprise Network Vulnerability Assessment,Cybersecurity Analyst
M.Tech,"Statistics, TensorFlow, Pandas, Scikit-learn, R, Python",5.0,Google Data Analytics,Customer Churn Prediction Model,Data Scientist
B.E,"SQL, Pandas, Excel, Data Analysis, MySQL, NumPy, Data Visualization",3.1,Google Data Analytics Certificate,Sales Performance Interactive Dashboard,Data Analyst
B.Tech,"Machine Learning, MLOps, Scikit-learn, Python, TensorFlow",0.6,DeepLearning.AI TensorFlow Developer,End-to-End MLOps Pipeline on Kubernetes,Machine Learning Engineer
M.S,"CUDA, PyTorch, Python, Scikit-learn, AWS, Machine Learning, Deep Learning",0.0,None,Autonomous Driving Lane Detection,Machine Learning Engineer
B.Tech,"Python, .NET, C++, Git",9.2,AWS Certified Developer,Peer-to-Peer Chat Engine,Software Developer
B.Sc,"C++, Algorithms, OOP, Data Structures, Java, SQL",7.1,AWS Certified Developer,Peer-to-Peer Chat Engine,Software Developer
B.Tech,"Unit Testing, OOP, Git, Algorithms, C++, C#, Python, SQL",7.6,Microsoft Certified C# Developer,Banking Transaction Core System,Software Developer
M.Tech,"R, SQL, Data Visualization, Power BI, PostgreSQL, Data Analysis",8.3,Google Data Analytics Certificate,Financial Quarterly KPI Visualization,Data Analyst
B.Sc,"Power BI, MySQL, Data Analysis, Google Analytics, Excel, Python, R, Data Visualization",2.2,Google Data Analytics Certificate,Sales Performance Interactive Dashboard,Data Analyst
MCA,"Linux, Ethical Hacking, Cybersecurity, Metasploit, Firewall, Nmap",7.6,None,Intrusion Detection System with Snort,Cybersecurity Analyst
B.Tech,"React, Angular, Node.js, HTML, REST API, JavaScript",6.9,JavaScript Specialist,Social Media Feed Web Application,Web Developer
M.Tech,"Docker, Linux, Git, Algorithms, Java",1.3,AWS Certified Developer,Banking Transaction Core System,Software Developer
B.E,"C++, Spring Boot, Git, Python, REST API, .NET, Data Structures",5.2,Microsoft Certified C# Developer,Peer-to-Peer Chat Engine,Software Developer
M.S,"Express, Bootstrap, Node.js, JavaScript",7.3,Full Stack Web Development Bootcamp,Blog CMS with Markdown Support,Web Developer
B.E,"Matplotlib, Machine Learning, Python, Statistics, R",0.5,Google Data Analytics,Credit Risk Scoring Algorithm,Data Scientist
B.E,"Tableau, Data Visualization, Google Analytics, Power BI",9.7,Google Data Analytics Certificate,Supply Chain Inventory Analysis,Data Analyst
M.S,"Data Structures, Linux, Git, C++, Algorithms, Java",3.8,Oracle Certified Java Professional,Peer-to-Peer Chat Engine,Software Developer
B.Sc,"Algorithms, Java, C#, Git, Data Structures, Python",4.0,None,Hospital Management Desktop App,Software Developer
M.Tech,"Data Analysis, MySQL, NumPy, SQL, Excel, Data Visualization, Tableau, R",4.1,Microsoft Certified Data Analyst,Supply Chain Inventory Analysis,Data Analyst
MCA,"Cloud Architecture, Microservices, Bash, CI/CD, Docker, Jenkins, AWS",3.0,AWS Solutions Architect Associate,Disaster Recovery Infrastructure as Code,Cloud Engineer
BCA,"CSS, HTML, Django, Next.js, REST API, MongoDB, React",5.7,None,Portfolio Showcase with Dynamic Theming,Web Developer
B.Tech,"TensorFlow, CUDA, Scikit-learn, Docker, PyTorch, NLP",1.6,DeepLearning.AI TensorFlow Developer,End-to-End MLOps Pipeline on Kubernetes,Machine Learning Engineer
M.Sc,"Linux, Cloud Architecture, AWS, Azure, CI/CD, Kubernetes",8.2,Certified Kubernetes Administrator (CKA),Disaster Recovery Infrastructure as Code,Cloud Engineer
BCA,"Python, Docker, Kubernetes, TensorFlow, NLP, Pandas, Machine Learning, Deep Learning",6.4,AWS Certified Machine Learning Specialty,Automated Image Segmentation for Medical Scans,Machine Learning Engineer
MCA,"Python, Terraform, AWS, CI/CD, Bash, Linux",4.8,Microsoft Azure Fundamentals,Automated CI/CD Pipeline with Jenkins and Docker,Cloud Engineer
M.S,"Jenkins, CI/CD, Docker, Terraform, Cloud Architecture",0.8,Microsoft Azure Fundamentals,Automated CI/CD Pipeline with Jenkins and Docker,Cloud Engineer
BCA,"CI/CD, Docker, Terraform, Bash, Linux, AWS",6.9,AWS Solutions Architect Associate,Multi-Region High Availability AWS Infrastructure,Cloud Engineer
M.Tech,"Docker, Cloud Architecture, Terraform, Kubernetes, Prometheus",6.2,Google Associate Cloud Engineer,Serverless Event-Driven ETL with AWS Lambda,Cloud Engineer
M.S,"Scikit-learn, NLP, Big Data, NumPy, Statistics",9.5,None,Healthcare Fraud Detection Engine,Data Scientist
M.S,"JavaScript, HTML, Next.js, TypeScript, React",4.9,Meta Front-End Developer Certificate,Blog CMS with Markdown Support,Web Developer
M.Sc,"REST API, CSS, React, Flask, JavaScript, HTML",0.6,Full Stack Web Development Bootcamp,Blog CMS with Markdown Support,Web Developer
B.Tech,"AWS, Kubernetes, CI/CD, Docker, GitLab CI",1.8,Microsoft Azure Fundamentals,Multi-Region High Availability AWS Infrastructure,Cloud Engineer
MCA,"Vue.js, HTML, CSS, Flask, React, PostgreSQL",6.1,Meta Front-End Developer Certificate,E-Commerce Web Portal with Stripe,Web Developer
B.Tech,"PostgreSQL, SQL, Excel, Google Analytics, Data Analysis, NumPy",4.0,Microsoft Certified Data Analyst,HR Employee Attrition Insights,Data Analyst
B.Tech,"Python, Pandas, Machine Learning, Deep Learning, NLP, Kubernetes",5.5,AWS Certified Machine Learning Specialty,End-to-End MLOps Pipeline on Kubernetes,Machine Learning Engineer
B.Tech,"Docker, PyTorch, Deep Learning, MLOps, Computer Vision",9.2,None,Transformer-based Chatbot Engine,Machine Learning Engineer
B.Tech,"Machine Learning, Docker, PyTorch, Kubernetes, NLP",2.4,GCP Professional ML Engineer,Real-time Object Detection with YOLO,Machine Learning Engineer
M.Tech,"JavaScript, TypeScript, Django, Express, REST API, Tailwind, Node.js",1.9,Meta Front-End Developer Certificate,Real-time Collaborative Whiteboard,Web Developer
B.Tech,"Python, NLP, Deep Learning, Docker, TensorFlow",1.8,DeepLearning.AI TensorFlow Developer,Transformer-based Chatbot Engine,Machine Learning Engineer
M.S,"HTML, Bootstrap, Express, Node.js, MongoDB, React, JavaScript, Django",6.3,JavaScript Specialist,Real-time Collaborative Whiteboard,Web Developer
M.S,"Java, Python, SQL, Algorithms, Spring Boot",5.0,AWS Certified Developer,Peer-to-Peer Chat Engine,Software Developer
B.Tech,"Spark, R, NumPy, Scikit-learn, Statistics",4.6,Google Data Analytics,Credit Risk Scoring Algorithm,Data Scientist
M.Tech,"R, Matplotlib, NumPy, Machine Learning, Pandas, Scikit-learn",0.5,IBM Data Science Professional,Sentiment Analysis on Product Reviews,Data Scientist
B.Sc,"PostgreSQL, Google Analytics, R, Data Analysis, Data Visualization, Python",6.4,None,Customer Segmentation and Cohort Study,Data Analyst
MCA,"Python, NumPy, Pandas, Data Analysis, Tableau, Data Visualization, SQL",4.2,Tableau Desktop Specialist,Customer Segmentation and Cohort Study,Data Analyst
BCA,"Scikit-learn, Deep Learning, PyTorch, MLOps",2.5,None,Autonomous Driving Lane Detection,Machine Learning Engineer
BCA,"Python, C#, Java, Algorithms, C++",9.7,AWS Certified Developer,Banking Transaction Core System,Software Developer
M.Sc,"Data Analysis, NumPy, PostgreSQL, Tableau, Excel, Statistics, Data Visualization",8.6,Google Data Analytics Certificate,HR Employee Attrition Insights,Data Analyst
B.Tech,"Bash, Wireshark, Vulnerability Assessment, Burp Suite, Network Security, Nmap",8.3,Cisco CCNA Security,Enterprise Network Vulnerability Assessment,Cybersecurity Analyst
B.Tech,"Docker, Deep Learning, NLP, Pandas, Scikit-learn, MLOps, PyTorch",7.4,AWS Certified Machine Learning Specialty,Edge AI Device Defect Classifier,Machine Learning Engineer
B.Tech,"SQL, NumPy, Pandas, Python, Excel, Data Analysis, Power BI",9.2,Microsoft Certified Data Analyst,Marketing Campaign ROI Tracker,Data Analyst
BCA,"JavaScript, Django, Bootstrap, Angular, Express, React, REST API, HTML",8.7,JavaScript Specialist,Social Media Feed Web Application,Web Developer
M.S,"Git, Algorithms, REST API, Data Structures, C#",8.0,Oracle Certified Java Professional,Inventory and Billing Management Software,Software Developer
B.Sc,"PyTorch, Deep Learning, Docker, TensorFlow, Scikit-learn, CUDA",9.0,AWS Certified Machine Learning Specialty,Real-time Object Detection with YOLO,Machine Learning Engineer
MCA,"Docker, PyTorch, Machine Learning, Computer Vision, Scikit-learn, Python",4.8,None,Edge AI Device Defect Classifier,Machine Learning Engineer
M.Sc,"NumPy, Machine Learning, SQL, TensorFlow, Python",0.2,None,Healthcare Fraud Detection Engine,Data Scientist
MCA,"Vulnerability Assessment, Network Security, Linux, Ethical Hacking, Firewall, Cryptography, Nmap",2.1,CompTIA CySA+,Intrusion Detection System with Snort,Cybersecurity Analyst
BCA,"Node.js, Vue.js, REST API, TypeScript, React, MongoDB, Express",6.2,JavaScript Specialist,Blog CMS with Markdown Support,Web Developer
M.S,"Python, PostgreSQL, R, Tableau, Excel",1.9,Tableau Desktop Specialist,Financial Quarterly KPI Visualization,Data Analyst
B.E,"Statistics, Spark, TensorFlow, Machine Learning, Big Data, NumPy, Pandas",3.1,Google Data Analytics,Recommendation System for E-Commerce,Data Scientist
M.S,"MLOps, Python, Scikit-learn, PyTorch, Pandas, Model Deployment, Docker",0.0,AWS Certified Machine Learning Specialty,Autonomous Driving Lane Detection,Machine Learning Engineer
M.Tech,"CI/CD, Bash, Cloud Architecture, Terraform, Linux, Docker, Azure, Prometheus",2.6,Google Associate Cloud Engineer,Serverless Event-Driven ETL with AWS Lambda,Cloud Engineer
M.Sc,"Seaborn, R, Pandas, Scikit-learn, Statistics, Spark",6.6,None,Recommendation System for E-Commerce,Data Scientist
